"Game Title","Region","Artist","Song Title"
"SingStar Amped (USA)","USA","Divinyls","Boys in Town"
"SingStar Amped (USA)","USA","Faith No More","Evidence"
"SingStar Amped (USA)","USA","Faker","This Heart Attack"
"SingStar Amped (USA)","USA","Fall Out Boy","This Ain't a Scene, It's an Arms Race"
"SingStar Amped (USA)","USA","Foo Fighters","Best of You"
"SingStar Amped (USA)","USA","Franz Ferdinand","Take Me Out"
"SingStar Amped (USA)","USA","Free","All Right Now"
"SingStar Amped (USA)","USA","Good Charlotte","Dance Floor Anthem (I Don't Want To Be In Love)"
"SingStar Amped (USA)","USA","Gotthard","Lift U Up"
"SingStar Amped (USA)","USA","Grinspoon","Chemical Heart"
"SingStar Amped (USA)","USA","Iggy Pop","Real Wild Child (Wild One)"
"SingStar Amped (USA)","USA","Judas Priest","Breaking the Law"
"SingStar Amped (USA)","USA","Judas Priest","You've Got Another Thing Comin'"
"SingStar Amped (USA)","USA","Kasabian","L. S. F. (Lost Souls Forever)"
"SingStar Amped (USA)","USA","Mando Diao","Long Before Rock n' Roll"
"SingStar Amped (USA)","USA","Motörhead","Ace of Spades"
"SingStar Amped (USA)","USA","Nickelback","Savin' Me"
"SingStar Amped (USA)","USA","Nirvana","Come as You Are"
"SingStar Amped (USA)","USA","O.A.R.","Love and Memories"
"SingStar Amped (USA)","USA","Pearl Jam","Alive"
"SingStar Amped (USA)","USA","Poison","Every Rose Has Its Thorn"
"SingStar Amped (USA)","USA","Queens of the Stone Age","Go with the Flow"
"SingStar Amped (USA)","USA","Quiet Riot","Cum on Feel the Noize"
"SingStar Amped (USA)","USA","Radiohead","Creep"
"SingStar Amped (USA)","USA","Ramones","Blitzkrieg Bop"
"SingStar Amped (USA)","USA","Regurgitator","Black Bugs"
"SingStar Amped (USA)","USA","Robert Palmer","Addicted to Love"
"SingStar Amped (USA)","USA","Scorpions","Rock You Like a Hurricane"
"SingStar Amped (USA)","USA","Silverchair","The Greatest View"
"SingStar Amped (USA)","USA","Soul Asylum","Runaway Train"
